cid,countyName,predict,truePoverty,error
0500000US55135,Waupaca County Wisconsin,42.79434508,11,-31.79434508
0500000US46127,Union County South Dakota,5.162155026,7.3,2.137844974
0500000US10003,New Castle County Delaware,31.68912018,11.9,-19.78912018
0500000US18045,Fountain County Indiana,56.59805305,12.6,-43.99805305
0500000US21165,Menifee County Kentucky,45.83107197,20.1,-25.73107197
0500000US45089,Williamsburg County South Carolina,129.1125836,28.2,-100.9125836
0500000US13287,Turner County Georgia,38.97312463,27.9,-11.07312463
0500000US08105,Rio Grande County Colorado,10.4217062,18.1,7.6782938
0500000US19005,Allamakee County Iowa,2.938310233,11.4,8.461689767
0500000US39019,Carroll County Ohio,51.07477896,14.8,-36.27477896
0500000US31023,Butler County Nebraska,-1.447186164,7.8,9.247186164
0500000US46033,Custer County South Dakota,6.02753978,13.2,7.17246022
0500000US13133,Greene County Georgia,31.27946939,21.9,-9.379469393
0500000US51053,Dinwiddie County Virginia,55.59598436,14.8,-40.79598436
0500000US51145,Powhatan County Virginia,12.15814995,5.5,-6.658149955
0500000US31105,Kimball County Nebraska,14.32084952,11.4,-2.920849523
0500000US48363,Palo Pinto County Texas,-11.26248329,18.3,29.56248329
0500000US16013,Blaine County Idaho,15.1604242,14.8,-0.360424202
0500000US24041,Talbot County Maryland,15.21735943,10,-5.217359426
0500000US21203,Rockcastle County Kentucky,35.03418315,21,-14.03418315
0500000US22111,Union Parish Louisiana,-4.716291513,22,26.71629151
0500000US18083,Knox County Indiana,27.60573418,15.6,-12.00573418
0500000US38013,Burke County North Dakota,-23.99222338,7.3,31.29222338
0500000US27005,Becker County Minnesota,43.38206804,12.7,-30.68206804
0500000US36097,Schuyler County New York,16.45887016,15.3,-1.15887016
0500000US48477,Washington County Texas,18.22264467,13.2,-5.022644672
0500000US17185,Wabash County Illinois,26.96685134,13.1,-13.86685134
0500000US38097,Traill County North Dakota,-148.524661,6.9,155.424661
0500000US48483,Wheeler County Texas,-120.2711449,19.2,139.4711449
0500000US51085,Hanover County Virginia,-18.04052969,5.8,23.84052969
0500000US18163,Vanderburgh County Indiana,43.56750852,18,-25.56750852
0500000US12021,Collier County Florida,-128.4722681,12.8,141.2722681
0500000US46087,McCook County South Dakota,-21.28640352,9.3,30.58640352
0500000US48299,Llano County Texas,-12.05811648,12.5,24.55811648
